Most emitting ship types,CO2 emissions per ship type,Single ships with the highest emissions,ktCO2,Ship type big single emitters,Company,Company with the highest emissions,CO2 (Mt),Company type
Container ship,55481112.49,MSC WORLD EUROPA,140601.08,Cruise ship,MSC,MSC,13691210.33,Container ship
Oil tanker,18533177.94,CRUISE BARCELONA,126577.54,Ferry,Grimaldi Group,Maersk,10271832.76,Container ship
Bulk carrier,15159430.49,RIBERA DEL DUERO KNUTSEN,124859.93,LNG carrier,Knutsen OAS Shipping,CMA CGM,8075610.4,Container ship
Ferry,13839163.93,CMA CGM BENJAMIN FRANKLIN,117926.53,Container ship,CMA CGM,Hapag-Lloyd,5201091.44,Container ship
LNG carrier,8996684.01,IONA,116915.65,Cruise ship,Carnival Corporation,China COSCO Shipping,4532746.78,Container ship
Chemical tanker,8495131.45,CRUISE ROMA,111440.09,Ferry,Grimaldi Group,Evergreen Marine,2752980.9899999998,Container ship
Cruise ship,7506858.53,MSC FANTASIA,110462.64,Cruise ship,MSC,ONE,2624666.58,Container ship
Ro-ro ship,5382524.63,VLADIMIR VIZE,109843.7,LNG carrier,Mitsui OSK Lines,HMM,1100374.1199999999,Container ship
General cargo ship,5318976.67,EBBA MAERSK,109211.92,Container ship,A.P. Moller,ZIM Integrated Shpg,793328.97,Container ship
Vehicle carrier,4444995.93,VENTURA,108582.44,Cruise ship,Carnival Corporation,Grimaldi Group,790064.62,Container ship
,,,,,,Carnival Corporation,2505841.77,Cruise ship
,,,,,,MSC,1399617.82,Cruise ship
,,,,,,NCL Holdings,828365.57,Cruise ship
,,,,,,Royal Caribbean,733383.24,Cruise ship
,,,,,,Tui Cruises,351850.24,Cruise ship
,,,,,,Tui Travel Plc,186648.38,Cruise ship
,,,,,,Viking Cruises,185772.23,Cruise ship
,,,,,,Fred Olsen & Co,138282.69,Cruise ship
,,,,,,Virgin Voyages,105177.45999999999,Cruise ship
,,,,,,Phoenix Reisen,82217.16,Cruise ship
,,,,,,Scorpio Group,836694.02,Oil/Chemical tanker
,,,,,,BW Group,687547.73,Oil/Chemical tanker
,,,,,,Shell,651993.47,Oil/Chemical tanker
,,,,,,Cardiff Marine,592380.02,Oil/Chemical tanker
,,,,,,Fredriksen Group,563597.5,Oil/Chemical tanker
,,,,,,Minerva Marine,559768.16,Oil/Chemical tanker
,,,,,,Penfield Marine,551732.98,Oil/Chemical tanker
,,,,,,A.P. Moller Holding,545067.5,Oil/Chemical tanker
,,,,,,Thenamaris,529601.91,Oil/Chemical tanker
,,,,,,Angelicoussis Group,493640.11,Oil/Chemical tanker
,,,,,,Grimaldi Group,2686178.11,Ferry
,,,,,,DFDS,2260535.72,Ferry
,,,,,,Attica Group,1167915.62,Ferry
,,,,,,Stena AB,1001686.29,Ferry
,,,,,,Onorato Armatori,765546.23,Ferry
,,,,,,CLdN Group,650064.56,Ferry
,,,,,,Balearia,583618.67,Ferry
,,,,,,MSC,493771.55,Ferry
,,,,,,Tallink Group,444775.52,Ferry
,,,,,,Brittany Ferries,394357.93,Ferry
,,,,,,Oldendorff Carriers,646415.94,Bulk carriers/General cargo ship
,,,,,,Spliethoff,499739.18,Bulk carriers/General cargo ship
,,,,,,China COSCO Shipping,409279.1,Bulk carriers/General cargo ship
,,,,,,Wagenborg Shipping,330590.69,Bulk carriers/General cargo ship
,,,,,,Polish Steamship Co,263314.74,Bulk carriers/General cargo ship
,,,,,,Singapore Marine,242741.89,Bulk carriers/General cargo ship
,,,,,,Gearbulk,230870.49,Bulk carriers/General cargo ship
,,,,,,Fednav,225893.22,Bulk carriers/General cargo ship
,,,,,,Wisdom Marine Group,205934.19,Bulk carriers/General cargo ship
,,,,,,Nippon Yusen Kaisha,189274.02,Bulk carriers/General cargo ship
,,,,,,Novatek,1828957.37,LNG/LPG carrier
,,,,,,Qatar Gas (Nakilat),1127232.11,LNG/LPG carrier
,,,,,,Shell,905684.64,LNG/LPG carrier
,,,,,,Nigeria LNG,649658.55,LNG/LPG carrier
,,,,,,Naturgy Energy,637629.01,LNG/LPG carrier
,,,,,,BW Group,220340.15,LNG/LPG carrier
,,,,,,Thenamaris,213606.88,LNG/LPG carrier
,,,,,,Capital Maritime,209748.0,LNG/LPG carrier
,,,,,,Cardiff Marine,202337.97999999998,LNG/LPG carrier
,,,,,,TotalEnergies,195665.29,LNG/LPG carrier
,,,,,,MSC,15602190.7,All ship types
,,,,,,Maersk,10271832.76,All ship types
,,,,,,CMA CGM,8286747.17,All ship types
,,,,,,Hapag-Lloyd,5230554.02,All ship types
,,,,,,China COSCO Shipping,5098425.25,All ship types
,,,,,,Grimaldi Group,3840746.7,All ship types
,,,,,,Evergreen Marine,2752980.9899999998,All ship types
,,,,,,ONE,2624666.58,All ship types
,,,,,,Carnival Corporation,2505841.77,All ship types
,,,,,,DFDS,2276319.28,All ship types
